Frequency (Hz)	Level (dB)
20068.945313	-147.854584
20155.078125	-146.819656
20241.210938	-147.918335
20327.343750	-148.159317
20413.476563	-148.019669
20499.609375	-148.277374
20585.742188	-147.372482
20671.875000	-147.252243
20758.007813	-147.833359
20844.140625	-147.778137
20930.273438	-147.613113
21016.406250	-146.983551
21102.539063	-146.219528
21188.671875	-146.266251
21274.804688	-145.564667
21360.937500	-146.187958
21447.070313	-146.596680
21533.203125	-147.158859
21619.335938	-147.342316
21705.468750	-147.285980
21791.601563	-146.036957
21877.734375	-145.686035
21963.867188	-132.708481
